,character,frequency,number_of_strokes
0,的,6538132,8
1,是,3200626,9
2,不,2831612,4
3,我,2584497,7
4,一,2542556,1
5,有,2289333,6
6,大,1891383,3
7,在,1715554,6
8,人,1598855,2
9,了,1507218,2
10,中,1322363,4
11,到,1310850,8
12,資,1115608,3
13,要,1034142,9
14,以,994958,5
15,可,992842,5
16,這,986130,1
17,個,933857,0
18,你,915385,7
19,會,894569,3
20,好,860232,6
21,為,847332,9
22,上,828394,3
23,來,812950,8
24,學,806783,6
25,就,803921,2
26,交,728005,6
27,也,712260,3
28,用,695290,5
29,能,668264,0
30,如,659275,6
31,時,658186,0
32,文,651140,4
33,說,638724,4
34,沒,638184,7
35,他,635766,5
36,看,632561,9
37,那,610340,7
38,問,601742,1
39,生,601668,5
40,提,599147,2
41,下,589356,3
42,過,586922,3
43,請,576417,5
44,們,571155,0
45,天,569684,4
46,所,558469,8
47,多,542911,6
48,麼,535402,4
49,小,530133,3
50,之,527444,4
51,想,525378,3
52,得,521836,1
53,工,521467,3
54,出,513081,5
55,還,511627,7
56,電,509516,3
57,對,500435,4
58,都,493206,1
59,機,468878,6
60,自,462155,6
61,而,459507,6
62,子,459460,3
63,後,459039,9
64,訊,448759,0
65,家,447793,0
66,站,446241,0
67,心,445610,4
68,只,443992,5
69,去,443547,5
70,知,434311,8
71,國,430450,1
72,很,417617,9
73,台,414094,5
74,成,406735,6
75,信,406628,9
76,同,395867,6
77,何,394682,7
78,章,391052,1
79,道,386382,3
80,發,374961,2
81,地,374510,6
82,法,370276,8
83,無,368361,2
84,然,364596,2
85,但,362245,7
86,當,354718,3
87,於,353628,8
88,嗎,353524,3
89,本,353034,5
90,年,343135,6
91,現,341466,1
92,前,339595,9
93,最,335527,2
94,真,335203,0
95,新,334204,3
96,和,333422,8
97,因,326759,6
98,果,324143,8
99,意,322755,3
100,定,322471,8
101,點,319559,7
102,情,318027,1
103,其,317897,8
104,題,316919,8
105,事,312553,8
106,科,311419,9
107,方,310681,4
108,些,304517,8
109,清,302588,1
110,三,301762,3
111,樣,301165,5
112,此,295670,6
113,吧,295069,7
114,位,291403,7
115,作,287015,7
116,理,286328,1
117,行,285867,6
118,者,283962,8
119,經,282242,3
120,名,278941,6
121,什,276297,4
122,謝,274523,7
123,日,273090,4
124,正,266725,5
125,開,265943,2
126,話,265861,3
127,與,264663,4
128,實,264457,4
129,愛,262882,3
130,再,261987,6
131,華,260565,2
132,二,260189,2
133,城,257697,9
134,動,256817,1
135,比,253132,4
136,面,252008,9
137,高,251576,0
138,又,249806,2
139,或,248845,8
140,力,247326,2
141,應,246284,7
142,女,245920,3
143,種,245042,4
144,教,245033,1
145,車,244964,7
146,分,243477,4
147,像,243002,4
148,系,240826,7
149,長,237093,8
150,手,236673,4
151,次,236297,6
152,已,235726,3
153,明,234613,8
154,打,233464,5
155,太,232918,4
156,路,232737,3
157,起,228817,0
158,己,228330,3
159,相,224206,9
160,主,224073,5
161,關,222896,9
162,十,222525,2
163,間,221727,2
